2024-11-02 21:58:28.792 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 21:58:28.792 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 21:59:08.860 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 21:59:08.860 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 21:59:08.860 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 21:59:08.860 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 21:59:08.860 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 21:59:08.860 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 21:59:13.906 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 21:59:13.906 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 21:59:13.906 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 21:59:13.906 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 21:59:13.906 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 21:59:13.906 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 21:59:13.912 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 21:59:13.912 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 21:59:13.912 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 21:59:13.912 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 21:59:13.912 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 21:59:13.912 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 21:59:31.774 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 21:59:31.774 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 21:59:31.774 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 21:59:31.774 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 21:59:31.774 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 21:59:31.774 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 21:59:31.774 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 21:59:36.776 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 21:59:36.776 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 21:59:36.776 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 21:59:36.776 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 21:59:36.776 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 21:59:36.776 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 21:59:36.776 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 21:59:36.786 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 21:59:36.786 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 21:59:36.786 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 21:59:36.786 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 21:59:36.786 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 21:59:36.786 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 21:59:36.786 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 22:05:13.666 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 22:05:13.666 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 22:05:13.666 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 22:05:13.666 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 22:05:13.666 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 22:05:13.666 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 22:05:13.666 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 22:05:13.666 | INFO     | __main__:<module>:24 - Script iniciado
2024-11-02 22:05:18.890 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 22:05:18.890 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 22:05:18.890 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 22:05:18.890 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 22:05:18.890 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 22:05:18.890 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 22:05:18.890 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 22:05:18.890 | WARNING  | __main__:<module>:70 - Faltas de Água não encontradas
2024-11-02 22:05:18.899 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 22:05:18.899 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 22:05:18.899 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 22:05:18.899 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 22:05:18.899 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 22:05:18.899 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 22:05:18.899 | INFO     | __main__:<module>:132 - Script finalizado
2024-11-02 22:05:18.899 | INFO     | __main__:<module>:132 - Script finalizado
